,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,playlist name
3340,0inMKhbKWOTDA9UBUAKoU6,Natalie,58,Bruno Mars,False,2012-12-07,0.76,0.733,-6.704,1,0.0504,0.15,0.0,0.0647,0.611,111.975,"['dance pop', 'pop']",Sing-Along Current
3341,2tCPIp83mRXvVTytTAf1W4,Show Me,61,Bruno Mars,False,2012-12-07,0.743,0.706,-5.728,1,0.0535,0.0461,0.0,0.204,0.514,77.989,"['dance pop', 'pop']",Sing-Along Current
3342,4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,60,Bruno Mars,False,2011-09-27,0.574,0.824,-6.885,1,0.0463,0.359,0.0,0.0816,0.434,149.981,"['dance pop', 'pop']",Sing-Along Current
3343,1EOWf8bsePF6QtiDUAclrJ,Catch a Grenade - The Hooligans Remix,45,Bruno Mars,False,2011-02-08,0.803,0.825,-2.394,0,0.0451,0.0496,0.0,0.0681,0.96,119.982,"['dance pop', 'pop']",Sing-Along Current
3344,0iYebKFUSfF72fUu2OW6ZT,Super Bass,73,Nicki Minaj,True,2010-01-01,0.72,0.861,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Sing-Along Current
3345,3r04p85xiJh9Wqk59YDYdc,OMG,0,Usher,False,2010-03-30,0.781,0.745,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",Sing-Along Current
3346,0x4KuMldlnPMniT86Cmyep,Beautiful Girls - Radio Disney Version,49,Sean Kingston,False,2007-11-13,0.772,0.648,-6.222,1,0.0612,0.161,0.0,0.269,0.741,129.966,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']",Sing-Along Current
3347,5KGLJFlE9iAjKubfW07ZZy,YOLO,37,The Lonely Island,False,2013-01-01,0.611,0.871,-3.003,0,0.275,0.0284,0.0,0.157,0.66,160.032,"['comedy rap', 'comic']",Sing-Along Current
3348,5JGxJFdgOQdJZdmyEzDtTj,Everybody Talks,0,Neon Trees,False,2011-01-01,0.476,0.918,-3.988,1,0.0616,0.00895,0.0,0.292,0.717,154.897,"['indie pop', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'rock']",Sing-Along Current
3349,1DqdF42leyFIzqNDv9CjId,Dynamite,72,Taio Cruz,False,2010-01-01,0.754,0.804,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,"['dance pop', 'edm', 'pop', 'pop rap']",Sing-Along Current
